Open_time,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av,Symbol
2024-01-15 00:00:00,42811.99,42837.03,42806.41,42825.03,20.61303,882690.8485819,1494,11.7847,504623.4677759,BTCUSDT
2024-01-15 00:01:00,42825.02,42847.67,42825.02,42847.66,9.60212,411342.5118818,975,5.76839,247087.1959061,BTCUSDT
2024-01-15 00:02:00,42847.67,42861.1,42847.66,42861.09,6.81799,292170.4588623,705,4.12841,176911.0304956,BTCUSDT
2024-01-15 00:03:00,42861.1,42866.0,42839.5,42839.5,12.62599,541094.9514217,803,1.56751,67170.2651719,BTCUSDT
2024-01-15 00:04:00,42839.51,42847.55,42837.8,42837.81,13.15944,563773.0147926,779,5.80995,248907.1997138,BTCUSDT
2024-01-15 00:05:00,42837.81,42837.81,42811.74,42835.57,14.83138,635141.7086021,920,10.13881,434181.111547,BTCUSDT
2024-01-15 00:06:00,42835.56,42869.8,42835.56,42869.79,16.11865,690809.4371105,707,13.65948,585412.820648,BTCUSDT
2024-01-15 00:07:00,42869.8,42885.99,42869.79,42882.01,10.86791,466006.7860807,637,6.52217,279654.4213334,BTCUSDT
2024-01-15 00:08:00,42882.0,42882.01,42846.0,42847.99,10.50903,450451.7763719,860,3.67635,157546.7416615,BTCUSDT
2024-01-15 00:09:00,42847.99,42850.07,42824.0,42824.01,10.26045,439555.6113463,883,3.47232,148746.7548524,BTCUSDT
2024-01-15 00:10:00,42824.0,42824.01,42811.45,42817.9,10.37621,444234.8885417,614,6.97514,298623.1930108,BTCUSDT
2024-01-15 00:11:00,42817.9,42826.0,42815.88,42820.43,8.53124,365321.9779002,607,3.1594,135282.2107067,BTCUSDT
2024-01-15 00:12:00,42820.43,42820.6,42820.42,42820.51,11.10354,475458.8378414,421,6.94683,297466.5016214,BTCUSDT
2024-01-15 00:13:00,42820.5,42824.82,42820.5,42820.51,4.57627,195962.5662131,424,2.81681,120619.1131853,BTCUSDT
2024-01-15 00:14:00,42820.51,42820.51,42820.5,42820.51,6.61748,283363.824552,284,2.2212,95112.916812,BTCUSDT
2024-01-15 00:15:00,42820.51,42842.16,42820.5,42842.15,10.64747,456022.2617585,678,8.42328,360763.6650853,BTCUSDT
2024-01-15 00:16:00,42842.16,42847.28,42828.98,42828.98,14.45254,619142.9552527,749,3.70491,158732.8889362,BTCUSDT
2024-01-15 00:17:00,42828.98,42846.4,42825.01,42846.39,20.84974,892971.7079514,937,17.79341,762062.4542226,BTCUSDT
2024-01-15 00:18:00,42846.4,42853.62,42832.53,42832.53,11.11077,476073.231142,687,4.45144,190739.1222367,BTCUSDT
2024-01-15 00:19:00,42832.54,42836.52,42805.5,42805.5,18.50125,792230.6328822,904,4.99091,213723.3385512,BTCUSDT
2024-01-15 00:20:00,42805.51,42835.14,42804.01,42835.14,23.62848,1011662.7261712,737,20.02806,857465.2708587,BTCUSDT
2024-01-15 00:21:00,42835.13,42861.02,42835.13,42859.07,16.64323,713175.5352636,864,12.5636,538337.672432,BTCUSDT
2024-01-15 00:22:00,42859.08,42864.31,42842.0,42842.0,11.77674,504700.8887982,755,4.25472,182352.2312373,BTCUSDT
2024-01-15 00:23:00,42842.0,42879.94,42842.0,42871.83,15.84443,679118.5142754,704,8.96429,384166.7130555,BTCUSDT
2024-01-15 00:24:00,42871.83,42886.0,42871.82,42878.08,8.35408,358228.9612221,564,3.90809,167572.640484,BTCUSDT
2024-01-15 00:25:00,42878.08,42881.99,42856.0,42860.0,24.71088,1059382.4840633,788,2.49997,107163.2941608,BTCUSDT
2024-01-15 00:26:00,42859.99,42872.0,42856.0,42871.99,10.91661,467911.1468985,611,5.67652,243300.8084456,BTCUSDT
2024-01-15 00:27:00,42872.0,42879.07,42871.64,42879.07,5.2605,225534.3774097,435,3.00188,128699.5194958,BTCUSDT
2024-01-15 00:28:00,42879.06,42888.09,42877.09,42888.08,10.96106,470008.9616854,485,8.68404,372371.2572033,BTCUSDT
2024-01-15 00:29:00,42888.09,42890.0,42876.0,42876.0,8.61525,369482.2195419,558,2.98549,128039.8473024,BTCUSDT
2024-01-15 00:30:00,42876.0,42927.48,42876.0,42907.99,54.69254,2346156.8248223,1664,36.87919,1581788.8967016,BTCUSDT
2024-01-15 00:31:00,42908.0,42909.04,42874.0,42906.78,16.55632,710074.4704187,965,10.10519,433406.7142117,BTCUSDT
2024-01-15 00:32:00,42906.77,42926.48,42906.77,42918.95,12.23843,525239.7390136,738,8.54565,366741.6686623,BTCUSDT
2024-01-15 00:33:00,42918.94,42918.95,42915.15,42915.15,7.84428,336651.7461136,404,5.18338,222454.7148417,BTCUSDT
2024-01-15 00:34:00,42915.15,42915.16,42900.0,42900.01,7.31839,314016.020826,709,3.49377,149906.7327687,BTCUSDT
2024-01-15 00:35:00,42900.01,42910.0,42888.01,42909.99,10.16001,435876.4271406,852,6.03822,259046.3394297,BTCUSDT
2024-01-15 00:36:00,42910.0,42911.07,42900.36,42911.06,7.40917,317907.9628094,649,4.74745,203700.9327249,BTCUSDT
2024-01-15 00:37:00,42911.06,42915.15,42911.06,42915.14,6.24074,267804.8657182,386,4.05024,173804.4025074,BTCUSDT
2024-01-15 00:38:00,42915.15,42916.51,42900.37,42900.37,10.97349,470902.1812752,891,2.48218,106511.9889227,BTCUSDT
2024-01-15 00:39:00,42900.38,42915.15,42900.37,42906.08,7.99114,342888.5542617,954,3.72101,159667.8203846,BTCUSDT
2024-01-15 00:40:00,42906.08,42915.14,42900.37,42900.38,5.27548,226366.6494188,731,1.38092,59253.2848987,BTCUSDT
2024-01-15 00:41:00,42900.37,42900.38,42882.86,42886.28,14.02053,601340.5832911,929,5.16695,221598.0395088,BTCUSDT
2024-01-15 00:42:00,42886.29,42896.0,42886.28,42896.0,4.42869,189956.5628479,421,2.76314,118518.8194312,BTCUSDT
2024-01-15 00:43:00,42895.99,42896.28,42884.89,42884.9,11.48213,492484.0845428,805,4.30198,184513.5218131,BTCUSDT
2024-01-15 00:44:00,42884.9,42885.97,42879.99,42880.0,13.96402,598822.0359296,620,2.93227,125741.3905724,BTCUSDT
2024-01-15 00:45:00,42880.0,42894.49,42879.99,42890.05,7.22323,309806.5077205,648,4.09145,175476.886892,BTCUSDT
2024-01-15 00:46:00,42890.04,42891.86,42882.0,42883.59,8.44957,362393.5051477,622,2.36677,101509.4158236,BTCUSDT
2024-01-15 00:47:00,42883.54,42900.0,42882.0,42900.0,8.32128,356909.4440278,566,4.31438,185033.9272133,BTCUSDT
2024-01-15 00:48:00,42900.0,42907.59,42899.99,42907.59,5.49367,235701.3076212,462,4.12025,176774.4208832,BTCUSDT
2024-01-15 00:49:00,42907.58,42913.94,42907.58,42910.88,9.07401,389395.589419,611,5.04914,216674.0070672,BTCUSDT
2024-01-15 00:50:00,42910.88,42940.01,42902.0,42940.01,41.50802,1781921.4219825,1574,31.05684,1333260.8318881,BTCUSDT
2024-01-15 00:51:00,42940.0,42967.97,42930.0,42940.57,126.06866,5414678.7897417,3100,104.60013,4492568.7240834,BTCUSDT
2024-01-15 00:52:00,42940.57,42950.36,42922.01,42922.02,23.31906,1001400.138996,972,8.91489,382857.7973321,BTCUSDT
2024-01-15 00:53:00,42922.01,42945.7,42922.01,42941.69,12.04649,517252.5250436,1234,4.49595,193030.1695543,BTCUSDT
2024-01-15 00:54:00,42941.69,42941.7,42914.0,42919.83,16.93239,726852.611531,929,3.20368,137495.3077398,BTCUSDT
2024-01-15 00:55:00,42919.83,42925.41,42905.0,42921.1,12.40561,532396.5288617,838,5.41344,232313.80428,BTCUSDT
2024-01-15 00:56:00,42921.09,42924.0,42912.77,42922.0,9.04614,388263.6602916,840,2.95611,126871.8506054,BTCUSDT
2024-01-15 00:57:00,42922.0,42922.01,42904.38,42904.39,7.9286,340256.1947654,594,1.14099,48963.480482,BTCUSDT
2024-01-15 00:58:00,42904.39,42912.0,42904.38,42912.0,5.6321,241666.5075342,379,4.05884,174158.2872341,BTCUSDT
2024-01-15 00:59:00,42911.99,42920.93,42904.38,42904.38,12.72422,546067.9526585,765,2.59454,111343.5204768,BTCUSDT
2024-01-15 01:00:00,42904.39,42929.16,42904.38,42929.16,9.66119,414602.599725,678,7.93274,340421.6430188,BTCUSDT
2024-01-15 01:01:00,42929.15,42944.41,42929.15,42944.4,9.06765,389326.2574836,630,6.02495,258686.4697879,BTCUSDT
2024-01-15 01:02:00,42944.41,42955.6,42944.4,42955.59,6.4291,276134.4584959,495,4.01846,172594.8331737,BTCUSDT
2024-01-15 01:03:00,42955.59,42958.0,42934.0,42934.01,18.7518,805370.4031615,991,3.60116,154651.2763055,BTCUSDT
2024-01-15 01:04:00,42934.0,42940.02,42926.54,42940.01,9.43632,405137.4063314,833,5.99201,257255.9486724,BTCUSDT
